,V1_count,V1_geod,V1_max,alpha,beta,depth,ffa_count,ffa_geod,ffa_max,ffg_count,ffg_geod,ffg_max,gof,hemi,model,n_tasks,ns,power,source_max,subject
4603,0.0,7.752056614900776,0.0468851587718606,0,0.2,0.9,0.0,2.304779353927807,0.0,0.1111111111111111,3.020309742745465,0.5272032840215708,0.4806944810801719,rh,mwe-S16,16.0,58.0,1.0,8.708749664575045,sub017
4604,0.1111111111111111,1.8995041531705839,0.3855547525739094,0,0.2,0.9,0.0,7.579052562266121,0.0014300060669646087,0.0,7.041329679991808,0.0014300060669646087,0.03853707778736293,lh,mwe-S16,16.0,32.0,1.0,1.8970119162233638,sub018
4605,0.1111111111111111,6.841713689092632,0.05284008101930925,0,0.2,0.9,0.2222222222222222,1.2368148381259856,1.0,0.2222222222222222,1.9230922693059693,1.0,0.03853707778736293,rh,mwe-S16,16.0,32.0,1.0,4.920214064433595,sub018
4606,0.3333333333333333,2.342902609379502,1.0,0,0.2,0.9,0.0,6.138695772912637,0.0,0.1111111111111111,5.4674626897938134,0.18626598117102774,0.09910636102025472,lh,mwe-S16,16.0,36.0,1.0,6.746587036713238,sub019
4607,0.0,5.576559530800902,0.09887253765361734,0,0.2,0.9,0.0,5.259761157410598,0.0,0.3333333333333333,4.625215566685721,0.38948242868185984,0.09910636102025472,rh,mwe-S16,16.0,46.0,1.0,2.64960624327714,sub019
4608,0.6666666666666666,1.8995041531705839,0.7847003901582171,5,0.3,0.9,0.0,7.579052562266121,0.1602100428830647,0.0,7.041329679991808,0.2593223747601126,0.032174417148637446,lh,mwe-S16,16.0,2304.0,1.0,0.18828890631499268,sub002
4609,0.1111111111111111,2.8925582319689522,1.0,5,0.3,0.9,0.0,7.507075321004708,0.19678830258713798,0.0,6.319630564426239,0.47309413994181326,0.032174417148637446,rh,mwe-S16,16.0,2317.0,1.0,0.2399500607831079,sub002
4610,0.1111111111111111,6.7684627828554484,0.5726102387264024,5,0.3,0.9,0.0,8.883277071788863,0.1629545692678389,0.0,8.305030373124122,0.3426967514087616,-0.03846590928843363,lh,mwe-S16,16.0,2304.0,1.0,0.12908974769675016,sub003
4611,0.2222222222222222,4.5291211721855476,0.6192599208746782,5,0.3,0.9,0.0,3.718158522188088,0.19419485164545172,0.0,2.759328737995354,0.41850782716218304,-0.03846590928843363,rh,mwe-S16,16.0,2317.0,1.0,0.16630171052760864,sub003
4612,0.3333333333333333,3.284828595702478,0.5320342644301327,5,0.3,0.9,0.1111111111111111,4.80229617966564,0.38051243856349304,0.1111111111111111,4.210603266822559,0.38051243856349304,0.03987403027079073,lh,mwe-S16,16.0,2304.0,1.0,0.35329381842123825,sub004
4613,0.1111111111111111,4.63355040863291,0.49143796985565874,5,0.3,0.9,0.0,3.6987954368188625,0.15565122210285878,0.5555555555555556,2.530574181434577,1.0,0.03987403027079073,rh,mwe-S16,16.0,2317.0,1.0,0.4752793793894302,sub004
4614,0.3333333333333333,10.639902721214169,0.6791882768482603,5,0.3,0.9,0.0,14.733561380016885,0.15230878123387295,0.0,14.368190612874514,0.34429959736504123,0.008226763274697846,lh,mwe-S16,16.0,2304.0,1.0,0.138662572319391,sub006
4615,0.1111111111111111,4.41594038680191,0.5725750318772486,5,0.3,0.9,0.0,3.6220634024278118,0.17101117644611624,0.1111111111111111,2.6001281772570803,0.6112419827236164,0.008226763274697846,rh,mwe-S16,16.0,2317.0,1.0,0.19491750503756172,sub006
4616,0.3333333333333333,1.8995041531705839,1.0,5,0.3,0.9,0.0,7.579052562266121,0.1157005089341741,0.2222222222222222,7.041329679991808,0.3305265766066329,0.03585806318083351,lh,mwe-S16,16.0,2304.0,1.0,0.5771079416968398,sub007
4617,0.0,6.550570218605681,0.3060285813766921,5,0.3,0.9,0.0,2.0680571089709208,0.26936064397026127,0.4444444444444444,2.1254534891691046,0.8689878263556287,0.03585806318083351,rh,mwe-S16,16.0,2317.0,1.0,0.5014997758277077,sub007
4618,0.5555555555555556,1.8995041531705839,1.0,5,0.3,0.9,0.0,7.579052562266121,0.24647862128696557,0.0,7.041329679991808,0.3421386708244761,0.03372328221966592,lh,mwe-S16,16.0,2304.0,1.0,0.2338384727083604,sub008
4619,0.1111111111111111,6.550570218605681,0.4492518334088532,5,0.3,0.9,0.0,2.0680571089709208,0.37542250136835714,0.3333333333333333,2.1254534891691046,0.8058976075483361,0.03372328221966592,rh,mwe-S16,16.0,2317.0,1.0,0.1884498657084245,sub008
